genus,species,lineage,decimal_latitude,decimal_longitude
A,rarara,rarara1,-30.88,151.17
A,obobob,obobob1,-15.910278,124.459722
A,obobob,obobob2,-15.116389,124.924167
A,obobob,obobob3,NA,NA
A,rarara,rarara2,-14.968333,128.597222
A,rarara,rarara3,-17.425833,124.963611
A,rarara,rarara4,-14.466667,125.533333
X,nanana,nanana1,-15.385556,124.361944
X,nanana,nanana2,-14.466667,125.533333
X,nanana,nanana3,-16.370556,124.23
X,nanana,nanana4,-15.106389,128.156667
X,occidentalis,occidentalis,-26.592778,113.889444
X,ocellatus,ocellatus,NA,NA
X,pilbarensis,pilbarensis,-21.756389,116.196389
X,pilbarensis,pilbarensis,NA,NA
X,tuberculatus,tuberculatus,-21.808333,114.101944
D,ameyi,ameyi,-24.0758,143.19
D,bilybara,bilybara,-22.693889,114.391111
D,calcicolus,calcicolus,-35.1761,139.1233
D,calcicolus,calcicolus,NA,NA
D,capensis,capensis,NA,NA
D,burraganae,burraganae,-18.608,137.988
D,hillii,hillii,-12.75,131.483
D,conspicillatus,conspicillatus,-23.440556,120.333333
D,fulleri,fulleri,-23.3,122.7
D,furcosus,furcosus,-30.7742,139.0025
D,galaxias,galaxias,-20.685278,116.63
D,galeatus,galeatus,-26.1606,134.3997
D,galeatus,galeatus,-29.0397,134.8003
D,granariensis,granariensis granariensis,-31.238056,116.250278
D,granariensis,granariensis rex,-25.934722,118.843333
D,laevis,laevis,-20.283333,118.894444
D,elderi,laevis,-25.283333,120.7
D,lateroides,lateroides,-32.133333,116.3
D,lateroides,lateroides,-34.388889,117.789167
D,mitchelli,mitchelli,-22.102222,118.99
D,nebulosus,nebulosus,-28.616667,114.7
D,ornatus,ornatus,NA,NA
D,polyophthalmus,polyophthalmus,-31.89,115.876389
D,pulcher,pulcher,-29.566667,118.383333
D,savagei,savagei,-22.518056,117.236389
D,tessellatus,tessellatus,-20.33,137.5
D,tessellatus,tessellatus,-31.68,137.18
D,tessellatus,tessellatus,-28.8436,134.6861
D,tessellatus,tessellatus,-30.4819,139.1825
D,vittatus,vittatus,-29.33,151.9
D,wiru,wiru,-31.8039,133.4014
L,woodardi,woodwardi,-22.675556,119.840556
L,alboguttatum,alboguttatum,-28.333333,115.225
L,bungabinna,bungabinna,-27.94,120.421944
L,byrnei,byrnei,-30.7344,139.0761
L,byrnei,byrnei,-28.5011,136.4931
L,damaeum,damaeum,-30.366111,123.634167
L,immaculatum,immaculatum,-24.101667,143.251667
L,maini,maini,-31.147778,118.475833
L,maini,maini,-31.95,122.4
L,maini,maini,-29.950833,121.094444
L,squarrosum,squarrosum,-25.533333,115.466667
L,steindachneri,steindachneri,-20.9858,145.0317
L,microplax,microplax,-29.0786,137.6714
L,wombeyi,wombeyi,-22.4025,119.861111
O,bella,Oedura bella,-18.58,138.5
A,rarara,rarara 1,-16.601896,145.263097
A,rarara,rarara 2,-17.015383,145.620754
A,rarara,rarara 3,-13.712736,143.314134
A,rarara,rarara 4,-19.128076,146.8679
A,rarara,rarara 5,-20.60486468,148.3838212
A,rarara,rarara 6,-28.843759,151.167877
A,rarara,rarara 7,-13.11665,142.93395
A,rarara,rarara 8,-16.657449,145.269427
A,rarara,rarara 9,-19.551136,144.22401
A,rarara,rarara 10,-12.86066,132.98035
A,rarara,rarara 11,-12.71794,131.82448
A,rarara,rarara 12,-20.7252,139.50891
A,rarara,rarara 13,-14.14299,136.48485
A,rarara,rarara 14,-12.05221,136.32095
A,rarara,rarara 17,-16.74739,128.28114
